,Dates,News,original_sentiment,VADER_sentiment
8147,21-08-2017,Gold marks highest finish in nearly 11 weeks as U.S.-North Korea tensions return,positive,-0.4019
8148,29-09-2017,"Gold prices down 2.7% for the month, but gain about 3.6% for the quarter",positive,0.6808
8149,23-08-2012,"Gold hits record high of Rs 31,035 on firm global cues",positive,0.0
8150,05-06-2007,august gold falls $1.20 to close at $675.10/oz in ny,negative,0.0
8151,11-05-2012,"gold falls, loses 3.7% for the week",negative,-0.3182
8152,16-07-2018,India looks to lift ban on gold imports from S. Korea,none,-0.5574
8153,30-11-2018,india : government puts gold dore imports under restricted category,none,-0.3818
8154,26-03-2018,options : gold's rally to five-week highs has revived interest in call options,positive,0.4588
8155,10-08-2006,"gold falls as terror plot hits oil, lifts dollar",negative,-0.5267
8156,07-09-2011,"outlook on gold, silver, crude oil: angel broking",none,-0.5719
8157,07-09-2017,Gold holds slight gain as ECB leaves monetary policy unchanged,positive,0.4779
8158,14-05-2004,"gold futures, stocks rise as data prompts dollar slide",positive,0.0
8159,30-12-2016,Gold turns lower but will still snap worst weekly skid in 12 years,negative,-0.8047
8160,19-01-2012,"gold ends 0.3% lower at $1,654.50 an ounce",negative,-0.296
8161,26-04-2013,"jim rogers may buy gold if price drops to $1,300",negative,0.0
8162,20-06-2018,fxtm : strong dollar weigh gold amid rising trade tensions,none,0.1531
8163,16-06-2017,"August gold settles at $1,256.50/oz, up $1.90, or 0.2%",positive,0.0
8164,03-10-2017,gold falls to 7-week low as dollar firms,negative,-0.2732
8165,12-08-2016,"gold, silver extend losses on global cues, low demand",negative,-0.5574
8166,15-09-2016,"December gold up $3.90, or 0.3%, at $1,330/oz.",positive,0.0
8167,19-12-2003,"metals shares, gold futures weaken",negative,-0.1531
8168,22-07-2011,gold settles higher but 90 cents short of record,positive,0.0
8169,06-11-2009,"gold hits $1,100 an ounce as unemployment worsens",positive,-0.7184
8170,07-09-2004,gold futures still weak in afternoon dealings,negative,-0.4404
8171,31-01-2017,Gold futures finish at highest level in more than a week,positive,0.0
8172,02-07-2013,"Gold futures up at Rs 26,027 per 10 gm",positive,0.0
8173,24-11-2017,gold prices edge higher on weaker dollar,positive,-0.4404
8174,29-08-2013,rupee's slide creates huge disparity between gold sold in local markets and bourses,none,0.5267
8175,12-09-2017,Gold prices ease as investors look to riskier assets,negative,0.2023
8176,07-05-2018,Gold jewellery demand may fall by 2-4% this year: Report,negative,-0.128
8177,15-11-2017,Gold prices finish lower after 2-session climb,negative,-0.296
8178,07-09-2007,gold futures rally friday to end up 4.1% for the week,positive,0.0
8179,02-01-2013,india mulls steps to make gold imports costlier,none,0.0
8180,11-05-2011,"gold, silver slump ahead of settlement",negative,0.0
8181,08-10-2011,"gold, silver turn weak on global cues, sluggish demand",negative,-0.7269
8182,05-06-2018,Expect Gold prices to trade sideways: Angel Commodities,neutral,0.0
8183,02-04-2013,gold futures slammed as u.s. stocks rally,negative,0.0
8184,04-10-2016,Gold futures log lowest finish since June 23,negative,-0.3818
8185,22-08-2012,"oil lower, gold holds to gains after 3-month high",positive,0.0516
8186,29-05-2009,"gold, silver rise on strong global cues",positive,0.5106
8187,08-10-2018,"Profit-booking, weak global cues pull gold futures down to Rs 31,427",negative,-0.4404
8188,30-08-2016,"Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz",negative,0.0
8189,29-06-2010,canadian markets close down; gold retreats,negative,0.0
8190,16-02-2018,Gold Prices Trim Gains as Dollar Rebounds,negative,0.34
8191,08-10-2007,gold falls as dollar advances,negative,0.0
8192,30-09-2003,gold's gains prompt higher q3 close for metals stocks,positive,0.34
8193,05-04-2012,jewellery stocks down since gold import duty hike,none,0.0
8194,30-09-2004,gold futures rise to five-month high,positive,0.0
8195,22-07-2004,gold edges up as traders eye dollar,positive,0.0
8196,18-05-2018,gold futures fall roughly 2.2% for the week,negative,0.0
8197,14-12-2017,buy the fact: gold jumps after fed rate hike,positive,0.0
8198,09-11-2015,gold futures end higher to snap 7-session losing streak,positive,-0.3818
8199,16-02-2011,"gold, oil advance after reports on iran's warships",positive,-0.128
8200,13-09-2007,dec. gold falls $6.70 to $714/oz in morning trading,negative,0.0
8201,15-11-2017,gold prices at 1-month highs on weaker dollar,positive,-0.4404
8202,01-08-2008,december gold down $2.70 to $920 an ounce ahead of jobs data,negative,0.0
8203,30-09-2016,"Dec. gold falls $5.80, or 0.4%, to $1,320.20/oz",negative,0.0
8204,09-04-2009,"gold falls, heading for third weekly loss on optimism",negative,0.296
8205,14-06-2018,Gold prices are expected to trade lower today: Angel Commodities,negative,-0.296
8206,05-10-2018,"Gold futures down Rs 112 on profit booking, global cues",negative,0.4404
8207,30-01-2017,Gold futures end higher after four consecutive sessions of losses,positive,-0.4019
8208,21-05-2018,ing : what are key factors to drive gold in short-term?,none,0.0
8209,24-11-2017,Gold finishes slightly lower in abbreviated Black Friday session,negative,-0.228
8210,28-10-2013,"Finkurve launches gold, silver investment scheme",none,0.0
8211,16-07-2018,china takes control of gold from the comex,none,0.0
8212,07-10-2016,"Dec. gold falls $6.80, or 0.5%, to $1,245.20/oz",negative,0.0
8213,23-10-2012,gold falls to six-week low as strengthening dollar curbs demand,negative,0.1531
8214,05-12-2018,palladium tops gold after rally driven by surge in global demand,none,0.4215
8215,16-12-2003,gold futures close lower; copper ends above $1,negative,-0.296
8216,08-09-2017,"Gold hits 10-month high of Rs 31,350",positive,0.0
8217,25-10-2018,Gold rises in futures trade; up 0.54% on global cues,positive,0.0
8218,06-02-2007,april gold up $2.80 at $658.90/oz in ny,positive,0.0
8219,20-08-2011,gold surges to record; dollar's loss is oil's gain,positive,0.2732
8220,04-09-2018,Commodity outlook: Gold may feel the chill as dollar strengthens,positive,0.4588
8221,12-12-2005,february gold surges to $544.50 an ounce high,positive,0.0
8222,26-07-2007,gold futures suffer a two-session drop of $22,negative,-0.6808
8223,07-03-2017,"April gold down $9.40, or 0.8%, to settle at $1,216.10/oz",negative,0.0
8224,09-10-2017,"gold, silver up in morning trade",positive,0.0
8225,06-04-2009,gold futures down $14.80 at $882.70 an ounce,negative,0.0
8226,18-07-2014,gold futures slip lower on profit-taking,negative,-0.296
8227,02-08-2018,Gold demand falls 8% in June quarter on weak jewellery sales,none,-0.5267
8228,25-09-2018,Gold holds steady ahead of Fed meet,neutral,0.0
8229,21-07-2015,"Gold consolidates near $1,100-level, further losses seen ahead",negative,-0.4019
8230,14-03-2014,"april gold up $6.60 on day, ends at $1,379/oz",positive,0.0
8231,04-08-2017,Gold prices end day and week lower as dollar pops after Friday jobs report,negative,-0.296
8232,07-12-2000,gold prices fall; palladium rises,negative,0.0
8233,13-05-2015,Gold prices lower in early Asia as easy policy views dominate outlook,negative,0.0516
8234,05-06-2012,"gold up on stray buying, silver drops",positive,0.0
8235,28-05-2014,comex gold settles at lowest level since feb. 6,negative,-0.3818
8236,18-02-2004,"spot gold bid at $415.80 an ounce, up 10c - kitco",positive,0.0
8237,0201-04-27,gold gains more ground as fed holds rates steady,positive,0.34
8238,11-07-2007,gold futures head lower after a three-session gain,negative,0.296
8239,03-01-2019,"gold hits six-month high on growth fears, stock volatility",positive,-0.0516
8240,26-08-2016,gold steady as dollar dips ahead of yellen speech,neutral,0.0
8241,30-10-2017,Gold futures remain steady following economic data,neutral,0.0
8242,25-07-2013,"aug. gold up $9.30, or 0.7%, at $1,328.80/oz",positive,0.0
8243,16-08-2017,"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",positive,0.0
8244,24-01-2017,Gold retreats after notching nearly 10-week high,positive,0.0
8245,10-10-2017,Gold prices mark highest finish in 2 weeks,positive,0.0
8246,11-09-2002,"gold prices fall, issues reverse course",negative,0.0
8247,19-05-2003,philadelphia gold & silver index rises 3.3%,positive,0.0
8248,17-03-2017,Gold futures end the week 2.4% higher,positive,0.0
8249,09-08-2017,gold registers best one-day gain in about 3 months,positive,0.8225
8250,22-09-2016,gold prices rally to 2-week high as dollar sinks on cautious fed,positive,-0.1027
8251,19-08-2005,"gold falls 0.6% for the day, down 2% for the week",negative,0.0
8252,04-04-2014,"june gold up $18.90 at $1,303.50/oz on comex",positive,0.0
8253,30-11-2006,"dec. gold up $11.40, or 1.8%, to close at $646.90/oz",positive,0.0
8254,27-12-2013,goldguinea prices slip 3% in january series so far,negative,0.0
8255,30-05-2006,june gold climbs $7.50 to $658.50/oz,positive,0.0
8256,09-05-2017,gold gains in asia as trump's firing of comey sparks policy concerns,positive,0.0
8257,19-01-2012,duty hike drags down gold price,negative,-0.1779
8258,23-10-2015,"gold suffers third straight loss, amid additional pboc stimulus measures",negative,-0.5423
8259,15-09-2006,"gold etf's on hold, but world fund gets going",neutral,0.0
8260,08-03-2018,gold slips into the red for second day,negative,0.0
8261,0201-04-25,"gold halfway back from rout, up over $30",positive,0.0
8262,19-12-2013,"expect gold, silver prices to trade lower: nirmal bang",negative,-0.296
8263,03-01-2019,"india : despite govt's diktat, gold round-tipping is still flourishing",none,0.0
8264,0201-04-20,"June gold climbs 70 cents to trade at $1,284.10/oz",positive,0.0
8265,14-04-2014,Gold prices ease in Asia on profit-taking,none,0.3612
8266,01-03-2013,"april gold down $5.80, or 0.4%, at $1,572.30/oz",negative,0.0
8267,07-12-2017,"gold rate today: gold, silver trade lower; should you invest?",negative,-0.296
8268,29-07-2013,gold extends gain for third day on sustained buying,positive,0.5994
8269,23-05-2015,"Gold, silver drop on subdued demand, weak global cues",negative,-0.6705
8270,07-07-2008,gold futures fall over 1% as dollar surges vs. rivals,negative,0.0
8271,04-08-2014,Gold edges higher as investors weigh Fed rate outlook,positive,0.0
8272,17-11-2014,australia stocks meander in early trading; gold shares gain,positive,0.6808
8273,17-05-2004,gold futures close at seven-session high,positive,0.0
8274,27-10-2010,"gold futures weaken on global cues, low spot demand",negative,-0.6597
8275,14-11-2008,dec. gold up 5.9% at $746.70/oz on globex after $752 high,positive,0.0
8276,31-07-2007,august gold gains $2.80 to close at $666.90/oz,positive,0.34
8277,10-05-2006,speculative buying takes gold to near $700/ounce,none,0.1027
8278,01-02-2017,"February gold slips $2.40, or 0.2%, at $1,209/oz.",negative,0.0
8279,17-11-2016,Gold futures log lowest finish since June after late-session turn lower,negative,-0.5859
8280,10-02-2016,more gains to come by april for gold: investors,positive,0.4005
8281,09-02-2017,should you invest in gold etfs amid steady outflows?,none,0.0
8282,10-01-2005,"spot gold quoted at $420.80, up $2.20 from new york",positive,0.0
8283,01-09-2018,Gold climbs as US-China trade picture deteriorates,positive,0.0
8284,11-04-2012,buy gold on dips around rs 28550-28520: nirmal bang,none,0.0
8285,02-05-2017,world's biggest gold miner etf sees record outflows,none,0.0
8286,27-10-2014,Black-gold rush? Not really,none,0.0
8287,23-02-2013,"gold, silver extend gains for second day on sustained buying",positive,0.4767
8288,25-06-2012,"Gold slips on profit-booking, weak demand",negative,-0.5267
8289,12-10-2010,"goldman ups 12-month gold price forecast to $1,650",none,0.0
8290,18-06-2015,"Gold futures rise to Rs 27,177 per 10 gm",positive,0.0
8291,09-05-2003,"gold futures close flat on session, up 2% on week",positive,0.0
8292,02-03-2015,india's failure to cut duty hurts gold prices,negative,-0.8176
8293,10-11-2006,"gold drops almost $7, still posts slight weekly gain",negative,0.4804
8294,14-12-2016,"Feb. gold gains $4.70, or 0.4%, to settle at $1,163.70/oz",positive,0.34
8295,23-02-2006,april gold falls $1.40 to $555.20/oz after $553.10 low,negative,-0.2732
8296,03-10-2007,december gold down $1.10 at $735.20 an ounce on nymex,negative,0.0
8297,05-12-2016,Kinross Gold downgraded to sell at Citigroup,none,0.0
8298,05-07-2017,gold jewellery demand may grow by 9% in 2017: icra,none,-0.128
8299,11-01-2018,us mint : gold and silver eagle buyers level-headed,none,0.0
8300,09-10-2006,gold futures up $4.70 at $581.50 an ounce,positive,0.0
8301,21-09-2015,mcx goldguinea october contract gains,positive,0.34
8302,21-08-2017,Gold prices climb to highest finish since early June,positive,0.0
8303,12-05-2013,"Gold stabilises, but downside risks persist",neutral,-0.631
8304,22-03-2016,"april gold settles at $1,248.60/oz, up $4.40, or 0.4%",positive,0.0
8305,21-11-2005,dec gold up $3.40 at $489.50 an ounce,positive,0.0
8306,26-02-2013,"Gold futures up at Rs 29,667 per 10 gm",positive,0.0
8307,08-10-2018,gold futures mark lowest settlement in more than a week,negative,-0.3818
8308,30-04-2014,Gold slips on heavy unwinding; silver extends losses,negative,-0.296
8309,03-10-2004,spot gold quoted at $418.10 in asia trade,positive,0.0
8310,09-11-2012,"stocks, bonds taker a breather; gold, oil dollar rally",positive,0.0
8311,16-11-2016,"Dec. gold down 60 cents, or less than 0.1%, to end at $1,223.90/oz",negative,0.0
8312,30-10-2008,"dec. gold ends down $15.50, or 2.1%, at $738.50 an ounce",negative,0.0
8313,18-01-2005,compania de minas commits 2.7m ounces of gold,none,0.0258
8314,06-09-2017,"gold halts 3-day rise, sheds rs 50 on weak demand",positive,-0.5267
8315,13-06-2003,"gold futures close up on session, down on week",positive,0.0
8316,03-11-2017,"Gold prices end at a nearly 3-month low, down 0.2% for the week",negative,-0.2732
8317,09-02-2001,"gold shares climb, futures prices fall",positive,0.296
8318,11-03-2010,"crude oil, gold lower after jobless, trade data",negative,-0.7096
8319,31-05-2018,"dubai : vat impact on gold, diamonds to be reduced between registered dealers: fta",none,0.0
8320,10-08-2005,"dec gold closes at $442/oz, up $2.20, or 0.5%",positive,0.0
8321,18-09-2014,Gold prices dip in Asia as investors keep focus on Fed,negative,0.0
8322,06-09-2011,"spot gold hits new record at $1,920",positive,0.0
8323,17-10-2006,gold futures lose $5 an ounce for the session,negative,-0.4019
8324,12-04-2005,glamis gold q1 gold output up 84%,none,0.0
8325,10-01-2017,"Feb. gold down 70 cents, or less than 0.1%, at $1,184.20/oz",negative,0.0
8326,08-05-2018,"lebanon central bank governor on elections, reforms, gold",none,0.0
8327,29-03-2001,palladium and gold prices decline,negative,0.0
8328,14-01-2011,"gold declines on global cues, silver slumps to one month low",negative,-0.2732
8329,10-07-2012,gold may trade in rs 29500-29750 range: nirmal bang,neutral,0.0
8330,07-06-2000,gold slips after four days of gains,negative,0.34
8331,26-01-2004,gold veterans brace for rough ride,negative,0.0
8332,27-11-2017,Gold settles higher to recoup most of last week's loss,positive,-0.3182
8333,27-11-2009,"dec. gold falls $5.50 to $1,181.50/oz on globex",negative,0.0
8334,22-05-2013,gold edges higher on good retail demand; silver rallies,positive,0.34
8335,26-10-2012,"gold futures fall at the close, lose 0.7% on week",negative,-0.4019
8336,04-08-2017,"December gold finishes down 0.8% at $1,264.60/oz.",negative,0.0
8337,01-11-2017,"Gold settles higher, extends gains in electronic trading after Fed statement",positive,0.4404
8338,06-09-2013,gold weak globally; good sell for investors: motilal oswal,negative,0.0
8339,10-05-2011,gold and silver are doomed,negative,-0.6369
8340,06-09-2017,Gold prices are expected to trade positive: Sushil Finance,positive,0.5574
8341,16-11-2018,france chases london's gold market amid soft-brexit hopes,none,0.4215
8342,21-09-2018,gold prices end at 1-week low as stocks hit records and the u.s. dollar regains buoyancy,negative,-0.2732
8343,04-04-2014,"june gold up $20.60, or 1.6%, to $1,305.20/oz",positive,0.0
8344,16-08-2018,bearish gold sentiment presents long-term buying opportunity,positive,0.4215
8345,21-06-2013,gold below &#36;1250/oz may shut down mines: scotia moccata,negative,0.0
8346,02-04-2012,government slashes import tariff value of gold to $539/10 grams,none,0.1531
8347,21-05-2010,"oil futures fluctuate, gold pares losses",negative,-0.4019
8348,31-01-2017,"Gold futures hit highs above $1,217/oz as the U.S. dollar and equities decline",positive,0.0
8349,14-11-2018,Gold edges up as dollar drifts away from multi-month high,positive,0.0
8350,04-12-2006,gold futures end the session with a modest gain,positive,0.5267
8351,02-07-2012,"gold ends lower, but off session lows",negative,-0.4215
8352,21-10-2011,MCX GOLDPETAL Dec contract up nearly 1%,positive,0.0
8353,26-08-2016,"Gold futures up at Rs 31,197 per 10 gram",positive,0.0
8354,09-06-2017,Gold prices down a third-straight session to lose 0.7% for the week,negative,-0.4019
8355,02-08-2018,Gold prices gain as dollar eases against yen,positive,0.6908
8356,17-09-2013,"Import duty on gold, silver jewellery hiked to 15%",none,0.0
8357,20-10-2011,"oil turns lower, gold trims loss on eu report",negative,-0.5423
8358,20-09-2007,"dec. gold up 1.5%, or $10.70, at $740.20/oz in ny",positive,0.0
8359,16-02-2012,middle-east situation may push gold prices: world gold council,positive,0.0
8360,01-06-2015,"aug. gold down $1.10, or 0.1%, to settle at $1,188.70 on comex",negative,0.0
8361,17-06-2011,"gold turns positive, trades at $1,537 an ounce",positive,0.5574
8362,13-08-2013,"Gold futures trading up at Rs 28,953/10g",positive,0.0
8363,10-10-2011,"outlook on gold, silver, usdinr: way2wealth",none,0.0
8364,13-06-2012,gold prices rises in major metros in india,positive,0.0
8365,29-08-2018,iran's currency crisis: now it's two gold coins to rent an apartment,none,-0.6249
8366,26-07-2018,Gold prices edge lower as U.S-EU trade concerns abate,negative,-0.296
8367,11-11-2014,mcx goldguinea december contract slips,negative,0.0
8368,12-04-2017,gold touches 5-month highs on geopolitical tensions,positive,-0.4019
8369,05-04-2016,"Gold futures spurt to Rs 28,496 on global cues",positive,0.0
8370,28-12-2012,"gold falls nearly $8 friday, ends week down 0.3%",negative,0.0
8371,18-11-2011,"gold down by rs 265, silver by rs 2,425 on weak global cues",negative,-0.4404
8372,0201-04-18,Gold prices turn modestly higher as dollar index taps session lows,positive,-0.2023
8373,03-07-2008,"august gold closes at $933.60/oz, down $12.90, on nymex",negative,0.0
8374,11-01-2017,"Feb. gold climbs $11.10, or 0.9%, to settle at $1,196.60/oz",positive,0.0
8375,11-09-2018,"Gold prices ease as US rate hike views, trade tensions boost dollar",positive,0.3612
8376,05-06-2017,Gold holds gains after U.S. data,positive,0.34
8377,12-03-2018,lpmcl : five banks open up trillion dollar gold club,none,0.0
8378,01-06-2014,Gold prices gain in Asia on solid China manufacturing data,positive,0.6124
8379,04-03-2015,mcx gold april may trade in rs 26000-26730 range: karvy,neutral,0.0
8380,13-07-2009,gold rises above $920 as dollar falls against euro,positive,0.0
8381,04-09-2013,Gold eases as investors weigh Fed stimulus cut,none,0.0516
8382,06-01-2003,"crude eases in london, but gold holds gains",positive,0.34
8383,07-10-2013,"december gold up $6.20 at $1,316.10 an ounce",positive,0.0
8384,27-06-2007,august gold falls 50 cents to $644.80/oz in morning trade,negative,0.0
8385,24-04-2018,charts : gold prices hold channel as bears push towards 2018 lows,negative,-0.2023
8386,02-08-2007,"gold futures post a modest gain, close below $680",positive,0.5267
8387,07-11-2016,Gold suffers biggest one-day percent loss in 5 weeks,negative,-0.6597
8388,19-10-2011,Gold prices may trade higher today: Angel Commodities,positive,0.0
8389,10-11-2014,Price rise in MCX-gold could be short-lived,positive,0.0
8390,19-10-2009,"silver falls by rs 225, gold down by rs 20",negative,0.0
8391,06-11-2018,etfs : october inflows to gold-backed etfs up as investors hedged risk -wgc,none,-0.2732
8392,0201-04-27,"oil, gold trim losses after consumer confidence",negative,0.1531
8393,13-02-2006,"april gold closes at $542.10/oz, down $11.40 for the day",negative,0.0
8394,22-05-2013,"june gold at $1,355.50 vs. $1,367.40 comex close",negative,0.0
8395,09-12-2010,"gold recovers on buying at low levels, firm asian cues",positive,-0.2732
8396,28-11-2017,"Gold falls to Rs 30,500 on weak global cues, tepid spot demand",negative,-0.5267
8397,26-02-2013,"gold futures tap fresh intraday highs above $1,600",positive,0.3182
8398,19-02-2014,jewellery stocks up on hopes of lifting gold import curbs,none,0.4215
8399,02-06-2016,gold steady after overnight losses; fed in focus,neutral,-0.4019
8400,30-03-2013,"gold edges up on stray buying, silver slides",positive,0.0
8401,17-01-2013,`Duty hike will not reduce demand for gold ornaments',none,0.0951
8402,17-06-2011,"india gold eases with world markets, demand poor",negative,-0.3182
8403,08-08-2013,"commodity bets: tips to trade gold, copper, nickel & lead",none,0.0
8404,08-09-2004,gold futures finish higher; stocks fall,positive,0.0
8405,26-07-2017,gold drifts lower as dollar firms ahead of fed,negative,-0.296
8406,12-08-2011,"canada stocks stuck: strong u.s. retail, weak gold",negative,-0.1531
8407,15-01-2018,gold gains in asia as weaker dollar trend aids buying sentiment,positive,-0.128
8408,08-09-2006,gold prices continue lower in afternoon trading,negative,-0.296
8409,24-07-2018,mongolia's central bank buys 8.3 tons of gold,none,0.0
8410,21-12-2016,"Gold gains on positive global cues, jewellers' buying",positive,0.7184
8411,23-01-2012,usd 1680 crucial level for gold; look to buy: ventura,none,0.0
8412,17-08-2016,"Dec. gold trades at $1,355.10/oz in electronic trading",none,0.0
8413,07-09-2005,silver futures end at a two-week high; gold posts small gain,positive,0.5267
8414,18-01-2012,"gold settles 0.3% higher at $1,659.90 an ounce",positive,0.0
8415,01-08-2007,gold heads lower after a two-session win,negative,0.3818
8416,01-03-2018,"april gold down $12.70, or 1%, to settle at $1,305.20/oz",negative,0.0
8417,25-11-2011,MCX GOLDGUINEA Jan contract trading lower,negative,-0.296
8418,24-10-2016,gold all set to record new multi-year highs from here on,positive,0.0
8419,22-07-2015,gold rebounds in asia as investors see physical value after sharp drops,negative,0.34
8420,07-06-2011,"gold futures gain a tad, hold above $1,500/ounce",positive,0.5267
8421,22-09-2008,gold rallies as massive rescue plan pressures dollar,positive,0.25
8422,08-02-2016,gold futures mark highest settlement since june,positive,0.0
8423,21-10-2013,gold prices hold near highest in a week as investors weigh stimulus,positive,0.0
8424,17-11-2011,"gold slips from all time high, silver slumps",positive,0.0
8425,15-11-2016,gold imports jump over two-fold to $3.5 billion in october,none,0.0
8426,16-01-2018,gold futures mark highest finish since sept. 8,positive,0.0
8427,22-10-2007,"dec. gold down $15.30, or 2%, at $753.10 an ounce on nymex",negative,0.0
8428,17-08-2008,china's gold-medal secret? chinese women,none,0.0
8429,20-08-2009,"gold down $3.6, or 0.4%, at $941.10/oz after data",negative,0.0
8430,24-04-2003,"gold futures close up, recover prior session's loss",positive,-0.3182
8431,31-08-2017,gold prices gain in asia as china caixin pmi jumps,positive,0.5267
8432,12-11-2007,dec. gold tumbles $20.20 at $814.50 an ounce on nymex,negative,0.0
8433,30-09-2016,Gold futures mark first quarterly loss of this year,negative,-0.3182
8434,26-02-2018,russia outpaces china in gold rush,none,0.0
8435,08-01-2016,Gold slides lower as U.S. dollar recovers,negative,-0.296
8436,30-01-2014,"Look to buy gold on dips to $1,245 targeting $1,285",negative,0.0
8437,18-09-2013,gold jumps $59 after fed holds off on taper,positive,0.0
8438,20-03-2017,"buy gold, says t gnanasekar",none,0.0
8439,20-06-2008,"gold futures end lower on day, but gain almost 4% on week",positive,0.6124
8440,28-03-2017,"gold, silver trade flat in morning deals",neutral,0.0
8441,20-03-2006,"copper futures close lower, but gold climbs",negative,-0.1531
8442,21-05-2014,comex gold settles lower for first time in three sessions,negative,-0.296
8443,05-11-2011,"gold, silver slip on profit-booking, global cues",negative,0.0
8444,07-04-2003,allied advances weigh on gold,none,0.0
8445,09-05-2017,Gold prices settle at an eight-week low,negative,-0.2732
8446,25-06-2018,gold futures mark another settlement low for the year,negative,-0.2732
8447,05-02-2003,gold extends slide after powell ends u.n. address,negative,0.128
8448,07-03-2018,"gold settles lower, then extends losses in electronic trade after fed beige book",negative,-0.5267
8449,20-09-2017,korea objects to curbs on gold imports,none,0.0
8450,26-04-2010,gold futures inch up after seesaw session,positive,0.0
8451,23-05-2018,abn amro :  gold price weakness not over yet,negative,-0.4215
8452,21-01-2013,sell mcx gold feb fut below rs 30300: fortune financial,none,0.0
8453,17-06-2011,"long gold, short silver: ur bhat, dalton capital advisors",none,0.0
8454,17-11-2017,"government fixes sovereign gold bond rate at rs 2,961/gram",none,0.0
8455,25-06-2016,"fuel becomes cheaper, but gold turns costlier",positive,0.0
8456,12-09-2017,"Gold falls below Rs 31,000-mark; silver down at Rs 41,650 per kg",negative,0.0
8457,27-12-2004,amex gold bugs index ends at highest level since dec 15,positive,0.0
8458,03-11-2017,Gold settles at a nearly three-month low,negative,-0.2732
8459,27-01-2011,"gold closes 1.1% lower at $1,318.40 an ounce",negative,-0.296
8460,19-08-2016,"Gold futures fall for the day, edge up for the week",positive,0.0
8461,22-12-2016,gold flirts with 11-month lows after positive u.s. data,negative,0.5423
8462,19-01-2018,gold prices settle higher to cut their loss for the week,positive,-0.5267
8463,27-10-2015,gold prices tick up in asia as markets await fed views on rates,positive,0.1027
8464,08-04-2011,"silver hits new high on global cues,gold moves up",positive,0.0
8465,08-03-2013,gold imports at &#36;42 bn during apr-jan,none,0.0
8466,14-01-2012,"Silver skids on sell-off, gold marginally up",positive,0.0
8467,10-07-2009,gold remains down on weakening trend in global markets,negative,-0.3182
8468,16-10-2017,"Gold slips but holds above $1,300; copper marks highest finish since 2014",negative,0.0
8469,0201-09-21,two ways to play gold's 'golden cross',none,0.34
8470,08-12-2016,"Gold prices extend decline, off 0.3% at 1,1173.40/oz.",negative,0.1779
8471,11-02-2016,Gold demand up 3% at 849 tonnes,positive,-0.128
8472,18-11-2011,"Gold steady; dollar, euro zone weigh",neutral,0.0
8473,20-04-2018,gold futures lose roughly 0.7% for the week,negative,-0.4019
8474,09-08-2018,mali : aussies have eyes on world's first fully autonomous underground gold mine in africa's mali,none,0.0
8475,29-03-2018,gold futures slightly lower after economic data,negative,-0.228
8476,20-12-2017,Gold Prices Remain Supported on U.S. Dollar Softness,neutral,0.3182
8477,09-05-2005,"roy disney, gold allege statements made re: ceo search",none,0.0
8478,0200-04-12,spot gold quoted at $429.00 in asia trade,positive,0.0
8479,07-05-2013,"gold bulls split with warren buffett as traders, analysts say sell",negative,0.0
8480,08-06-2012,"gold futures weaken on global cues, subdued spot demand",negative,-0.5106
8481,30-07-2016,"gold tops rs 31,000-level after 29 months",positive,0.5106
8482,04-09-2015,gold ends week 1.1% lower after jobs report,negative,-0.296
8483,23-12-2016,"Gold settles higher, but logs 7th straight weekly drop",positive,-0.0772
8484,31-05-2005,eldorado gold to buy afcan mining via stock swap,none,0.0
8485,0201-04-26,gold turns lower and oil futures add to losses,negative,-0.5994
8486,01-10-2014,"gold gains on falling stock prices, soft u.s. data",positive,0.2023
8487,02-03-2018,gold prices hold sharp gain after consumer-sentiment reading,positive,0.5267
8488,20-07-2015,"Gold crashes below Rs 25,000 in futures trade",negative,0.0
8489,03-09-2015,Gold prices hold nearly steady in Asia ahead of key U.S. jobs report,neutral,0.0
8490,28-08-2014,"Gold gains as Ukraine tensions heat up, shrugs off U.S. data",positive,-0.0772
8491,22-03-2006,april gold falls $3.50 to $549.80/oz in morning trading,negative,0.0
8492,25-08-2012,"Gold prices touch new high of Rs 31,300",positive,0.0
8493,04-09-2012,"post coalgate, coal as valuable as gold",none,0.4767
8494,10-05-2017,"June gold settles at $1,218.90/oz, up $2.80, or 0.2%",positive,0.0
8495,05-05-2006,june gold up $5 at $681.50/oz in ny,positive,0.0
8496,24-08-2017,"Gold for December delivery off 0.2% at $1,292.2",negative,0.0
8497,18-04-2013,"gold prices rebound from 20 month low on fresh buying, global cues",positive,0.0516
8498,12-11-2010,a mad gold pitch is a sign of the times,none,-0.4939
8499,20-10-2004,"dec gold up $3.20, closes at a 6-mo high of $424.80",positive,0.0
8500,10-04-2018,Gold prices to trade volatile today: Angel Commodities,none,0.0
8501,23-07-2012,IDBI mutual launches Gold FoF,none,0.0
8502,19-01-2005,gold futures tap one-week high,positive,0.0
8503,14-11-2018,x8 : this sharia compliant cryptocurrency is backed by gold and 8 fiats,none,0.0258
8504,05-12-2007,feb. gold ends down $3.90 at $803.70 an ounce on nymex,negative,0.0
8505,15-12-2004,gold futures close above $442 at one-week high,positive,0.0
8506,27-03-2013,"april gold up $10.50, or 0.7%, at $1,606.20/oz",positive,0.0
8507,01-02-2019,Gold rates,none,0.0
